Plot,Location,MAP,elevation,area,year,age,Tree,Species,DBH,Height,Volume,BA,wood,crown,root,total
9,Kalopa,2159,655,0.04,1966,32,3,EF,23.876,20.7,0.38,0.0448,231.3090299,9.086987733,65.10293029,305.4989479
9,Kalopa,2159,655,0.04,1966,32,4,ER,22.606,18.3,0.304,0.0401,192.9457241,8.053249771,56.9993749,257.9983488
9,Kalopa,2159,655,0.04,1966,32,5,EF,36.83,30.5,1.199,0.1066,974.396583,23.67753843,186.8101969,1184.884318
9,Kalopa,2159,655,0.04,1966,32,7,ER,7.366,11.6,0.027,0.0043,4.674046965,0.676024329,3.728254302,9.078325596
9,Kalopa,2159,655,0.04,1966,32,8,EF,28.194,23.2,0.569,0.0624,401.533305,13.12003733,97.53917571,512.1925181
9,Kalopa,2159,655,0.04,1966,32,9,ER,42.418,30.8,1.554,0.1413,1556.960886,32.35087207,263.3904684,1852.702227
9,Kalopa,2159,655,0.04,1966,32,10,ER,20.066,11.6,0.156,0.0316,129.9260269,6.188722471,42.65625095,178.7710003
9,Kalopa,2159,655,0.04,1966,32,11,EF,59.182,48.5,4.403,0.2751,4700.699286,67.525352,592.0565589,5360.281197
9,Kalopa,2159,655,0.04,1966,32,12,EF,26.67,26.8,0.597,0.0558,333.9264734,11.60410649,85.20909879,430.7396787
9,Kalopa,2159,655,0.04,1966,32,13,EF,9.398,13.4,0.047,0.007,10.48886932,1.158072259,6.742488116,18.3894297
9,Kalopa,2159,655,0.04,1966,32,14,ER,16.51,22.3,0.213,0.0214,68.01942075,4.021851313,26.5435423,98.58481436
9,Kalopa,2159,655,0.04,1966,32,15,ER,16.764,18.3,0.18,0.0221,71.55366178,4.15983663,27.54764311,103.2611415
9,Kalopa,2159,655,0.04,1966,32,16,ER,12.954,14.3,0.089,0.0132,30.41762663,2.353261845,14.71513548,47.48602396
9,Kalopa,2159,655,0.04,1966,32,17,ER,41.402,33.2,1.607,0.1346,1436.630321,30.663552,248.3097946,1715.603668
9,Kalopa,2159,655,0.04,1966,32,18,EF,70.358,47.9,5.899,0.3888,8344.654737,98.95847615,901.7048281,9345.318041
9,Kalopa,2159,655,0.04,1966,32,19,EF,41.402,29.6,1.43,0.1346,1436.630321,30.663552,248.3097946,1715.603668
9,Kalopa,2159,655,0.04,1966,32,20,EF,15.748,14,0.123,0.0195,58.14952104,3.62312558,23.66193111,85.43457773
9,Kalopa,2159,655,0.04,1966,32,21,EF,39.37,31.1,1.376,0.1217,1215.714237,27.43669758,219.7051751,1462.85611
9,Kalopa,2159,655,0.04,1966,32,22,EF,40.64,33.8,1.584,0.1297,1350.760254,29.43046005,237.3413425,1617.532056
9,Kalopa,2159,655,0.04,1966,32,23,EF,26.162,22.6,0.485,0.0538,313.2855318,11.12135739,81.3155731,405.7224622
9,Kalopa,2159,655,0.04,1966,32,24,EF,25.4,23.2,0.473,0.0506,284.0200467,10.4182302,75.67520336,370.1134803
9,Kalopa,2159,655,0.04,1966,32,25,EF,35.052,28.3,1.022,0.0965,826.8749349,21.22544434,165.6302033,1013.730583
9,Kalopa,2159,655,0.04,1966,32,26,EF,56.642,46.6,3.921,0.252,4064.010947,61.28773114,532.1462716,4657.44495
